source,ourDatabase,databaseLabel
nowtolove.com.au,TRUE,Fake
orientalreview.org,TRUE,Fake
strategic-culture.org,TRUE,Fake
thisisinsider.com,TRUE,Fake
wetpaint.com,TRUE,Fake
americanlookout.com,TRUE,Fake
complex.com,TRUE,Fake
theantimedia.org,TRUE,Fake
wikileaks.org,TRUE,Fake
x17online.com,TRUE,Fake
wnd.com,TRUE,Fake
hangthebankers.com,TRUE,Fake
newstarget.com,TRUE,Fake
ok.co.uk,TRUE,Fake
spinzon.com,TRUE,Fake
usanewsflash.com,TRUE,Fake
eonline.com,TRUE,Fake
etonline.com,TRUE,Fake
blogspot.com,TRUE,Fake
bossip.com,TRUE,Fake
magafeed.com,TRUE,Fake
off-guardian.org,TRUE,Fake
react365.com,TRUE,Fake
romper.com,TRUE,Fake
southfront.org,TRUE,Fake
celebritynetworth.com,TRUE,Fake
hollywoodreporter.com,TRUE,Fake
usmagazine.com,TRUE,Fake
americannews.com,TRUE,Fake
breakingnews365.net,TRUE,Fake
celebuzz.com,TRUE,Fake
cosmopolitan.com.au,TRUE,Fake
ellentube.com,TRUE,Fake
irishmirror.ie,TRUE,Fake
j-14.com,TRUE,Fake
theearthchild.co.za,TRUE,Fake
usasupreme.com,TRUE,Fake
usatwentyfour.com,TRUE,Fake
viralliberty.com,TRUE,Fake
presstv.com,TRUE,Fake
americasfreedomfighters.com,TRUE,Fake
anonews.co,TRUE,Fake
bet.com,TRUE,Fake
break.com,TRUE,Fake
brit.co,TRUE,Fake
capitalfm.com,TRUE,Fake
christianpost.com,TRUE,Fake
contactmusic.com,TRUE,Fake
dailyfeed.news,TRUE,Fake
enstarz.com,TRUE,Fake
entertainmentdaily.co.uk,TRUE,Fake
fashionmagazine.com,TRUE,Fake
glamourmagazine.co.uk,TRUE,Fake
harpersbazaar.com.au,TRUE,Fake
hellogiggles.com,TRUE,Fake
indiaarising.com,TRUE,Fake
journalpost.com,TRUE,Fake
kinggossip.com,TRUE,Fake
mcarchives.com,TRUE,Fake
me.me,TRUE,Fake
mediamass.net,TRUE,Fake
mtonews.com,TRUE,Fake
naughtygossip.com,TRUE,Fake
neonnettle.com,TRUE,Fake
other98.com,TRUE,Fake
politicot.com,TRUE,Fake
popculture.com,TRUE,Fake
prepperwebsite.com,TRUE,Fake
regated.com,TRUE,Fake
seventeen.com,TRUE,Fake
thelastlineofdefense.org,TRUE,Fake
toprightnews.com,TRUE,Fake
usanewsinsider.com,TRUE,Fake
vh1.com,TRUE,Fake
vigilantcitizen.com,TRUE,Fake
infowars.com,TRUE,Fake
bravotv.com,TRUE,Fake
vanityfair.com,TRUE,Fake
125sites.com,TRUE,Fake
abcnews.com.co,TRUE,Fake
accessonline.com,TRUE,Fake
ajc.com,TRUE,Fake
babe.net,TRUE,Fake
breakingnews247.net,TRUE,Fake
cairnspost.com.au,TRUE,Fake
countercurrents.org,TRUE,Fake
dailybuzzlive.com,TRUE,Fake
dailyedge.ie,TRUE,Fake
dailyheadlines.net,TRUE,Fake
datalounge.com,TRUE,Fake
econotimes.com,TRUE,Fake
empireherald.com,TRUE,Fake
etcanada.com,TRUE,Fake
evoke.ie,TRUE,Fake
fortune.com,TRUE,Fake
freedomdaily.com,TRUE,Fake
gobankingrates.com,TRUE,Fake
goldderby.com,TRUE,Fake
heatworld.com,TRUE,Fake
marieclaire.com.au,TRUE,Fake
meaww.com,TRUE,Fake
myz99.com,TRUE,Fake
newsbreakshere.com,TRUE,Fake
newslo.com,TRUE,Fake
newslocker.com,TRUE,Fake
notallowedto.com,TRUE,Fake
novom.ru,TRUE,Fake
now8news.com,TRUE,Fake
observeronline.news,TRUE,Fake
our.news,TRUE,Fake
politicono.com,TRUE,Fake
puppetstringnews.com,TRUE,Fake
revelist.com,TRUE,Fake
revolt.tv,TRUE,Fake
satirewire.com,TRUE,Fake
smag31.com,TRUE,Fake
tasteofcountry.com,TRUE,Fake
thenational.ae,TRUE,Fake
therichest.com,TRUE,Fake
therundownlive.com,TRUE,Fake
twoeggz.com,TRUE,Fake
usacarry.com,TRUE,Fake
vt.co,TRUE,Fake
wdjx.com,TRUE,Fake
bustle.com,TRUE,Fake
inquisitr.com,TRUE,Fake
celebrityinsider.org,TRUE,Fake
blastingnews.com,TRUE,Fake
mercurynews.com,TRUE,Fake
sputniknews.com,TRUE,Fake
elitedaily.com,TRUE,Fake
hellomagazine.com,TRUE,Fake
deadline.com,TRUE,Fake
rt.com,TRUE,Fake
actionnews3.com,TRUE,Fake
